Year,LandslideID,Zone,TreeID,Species_Jp,DBH_cm,H_m,BA,BEF,R,D1,TimVol,AGBiomass_mg
1947,19,Initiation,B751,Sawashiba,3.9,4.25,11.94590607,1.26,0.26,0.624,0.004012112,0.003154483
1947,19,Initiation,B752,Akashide,4.4,5.1,15.20530844,1.26,0.26,0.624,0.005246295,0.004124847
1947,19,Initiation,B753,Sawashiba,2.2,3.57,3.801327111,1.26,0.26,0.624,0.001123421,0.000883279
1947,19,Initiation,B754,Akashide,3.2,5.61,8.042477193,1.26,0.26,0.624,0.002584345,0.002031915
1947,19,Initiation,B755,Hakunboku,3.5,3.4,9.621127502,1.26,0.26,0.624,0.003154139,0.002479911
1947,19,Initiation,B756,Akashide,2.2,3.4,3.801327111,1.26,0.26,0.624,0.001123421,0.000883279
1947,19,Initiation,B757,Sawashiba,2.3,3.4,4.154756284,1.26,0.26,0.624,0.001240126,0.000975036
1947,19,Initiation,B758,Aodamo,4.3,5.61,14.52201204,1.26,0.26,0.624,0.004984869,0.003919304
1947,19,Initiation,B759,Akashide,3.9,4.25,11.94590607,1.26,0.26,0.624,0.004012112,0.003154483
1947,19,Initiation,B760,Sawashiba,2.2,4.25,3.801327111,1.26,0.26,0.624,0.001123421,0.000883279
1947,19,Initiation,B761,Akashide,3.3,5.1,8.552985999,1.26,0.26,0.624,0.002767349,0.0021758
1947,19,Initiation,B762,Sawashiba,2.2,3.91,3.801327111,1.26,0.26,0.624,0.001123421,0.000883279
1947,19,Initiation,B763,Sawashiba,2.7,3.91,5.725552611,1.26,0.26,0.624,0.001771308,0.001392674
1947,19,Initiation,B764,Sawashiba,2,1.53,3.141592654,1.26,0.26,0.624,0.000908887,0.000714604
1947,19,Initiation,B765,Sawashiba,1.7,1.7,2.269800692,1.26,0.26,0.624,0.000633257,0.000497892
1947,19,Initiation,B766,Mizunara,23,7.3,415.4756284,1.26,0.26,0.624,0.323209013,0.254119854
1947,19,Initiation,B767,Akashide,1.6,1.7,2.010619298,1.26,0.26,0.624,0.000553402,0.000435106
1947,19,Initiation,B768,Sawashiba,3.1,4.25,7.54767635,1.26,0.26,0.624,0.002408206,0.001893428
1947,19,Initiation,B769,Mizunara,39.6,14,1231.629984,1.26,0.26,0.624,1.202997944,0.945845104
1947,19,Initiation,B770,Yamamomiji,5.1,5.1,20.42820623,1.18,0.26,0.519,0.007284698,0.004461295
1947,19,Initiation,B771,Mizunara,28.7,11.5,646.9246132,1.26,0.26,0.624,0.552167092,0.434135854
1947,19,Initiation,B772,Aodamo,4,3.4,12.56637061,1.26,0.26,0.624,0.004244438,0.003337147
1947,19,Initiation,B773,Ezo Yamazakura,15,8.3,176.7145868,1.26,0.26,0.624,0.114933636,0.090365422
1947,19,Initiation,B774,Ezo Yamazakura,7.8,6,47.78362426,1.26,0.26,0.624,0.023631301,0.018579874
1947,19,Initiation,B775,Tsuribana,1.3,1.7,1.327322896,1.26,0.26,0.624,0.000348772,0.000274219
1947,19,Initiation,B776,Hauchiwa kaede,3.1,3.4,7.54767635,1.18,0.26,0.519,0.002408206,0.001474833
1947,19,Initiation,B777,Hauchiwa kaede,4.9,4.25,18.8574099,1.18,0.26,0.519,0.006664721,0.004081608
1947,19,Initiation,B778,Akashide,2,2.55,3.141592654,1.26,0.26,0.624,0.000908887,0.000714604
1947,19,Initiation,B779,Sawashiba,2,2.89,3.141592654,1.26,0.26,0.624,0.000908887,0.000714604
1947,19,Initiation,B780,Akashide,2.1,1.7,3.463605901,1.26,0.26,0.624,0.00101303,0.000796485
1947,19,Initiation,B781,Mizunara,25.2,11.9,498.7592497,1.26,0.26,0.624,0.403132459,0.316958865
1947,19,Initiation,B782,Akashide,2.5,2.55,4.908738521,1.26,0.26,0.624,0.001492725,0.00117364
1947,19,Initiation,B783,Akashide,1.6,1.7,2.010619298,1.26,0.26,0.624,0.000553402,0.000435106
1947,19,Initiation,B784,Akashide,3.5,5.1,9.621127502,1.26,0.26,0.624,0.003154139,0.002479911
1947,19,Initiation,B785,Akashide,1.8,1.7,2.544690049,1.26,0.26,0.624,0.000719073,0.000565364
1947,19,Initiation,B786,Yamamomiji,12.8,7.5,128.6796351,1.18,0.26,0.519,0.056359956,0.034515964
1947,19,Initiation,B787,Akashide,2,2.04,3.141592654,1.26,0.26,0.624,0.000908887,0.000714604
1947,19,Initiation,B788,Sawashiba,1.3,1.53,1.327322896,1.26,0.26,0.624,0.000348772,0.000274219
1947,19,Initiation,B789,Akashide,2.2,3.4,3.801327111,1.26,0.26,0.624,0.001123421,0.000883279
1947,19,Initiation,B790,Mizunara,20,9.6,314.1592654,1.26,0.26,0.624,0.230494972,0.181224367
1947,19,Initiation,B791,Sawashiba,1.9,1.7,2.83528737,1.26,0.26,0.624,0.000810925,0.000637582
1947,19,Initiation,B792,Mizunara,32,16.3,804.2477193,1.26,0.26,0.624,0.718467756,0.564888089
1947,19,Initiation,B793,Mizunara,38.2,22.3,1146.084416,1.26,0.26,0.624,1.102689067,0.866978252
1947,19,Initiation,B794,Akashide,5.3,8.5,22.06183441,1.26,0.26,0.624,0.007935147,0.00623893
1947,19,Initiation,B795,Hauchiwa kaede,3.9,4.25,11.94590607,1.18,0.26,0.519,0.004012112,0.002457098
1947,19,Initiation,B796,Mizunara,13.2,6.8,136.847776,1.26,0.26,0.624,0.084363829,0.066330217
1947,19,Initiation,B797,Ezo Yamazakura,22.7,4.25,404.7078196,1.26,0.26,0.624,0.31310568,0.24617621
1947,19,Initiation,B798,Mizunara,20,10.3,314.1592654,1.26,0.26,0.624,0.230494972,0.181224367
1947,19,Initiation,B799,Shinanoki,22.4,13.4,394.0813825,1.18,0.26,0.369,0.303190041,0.132015008
1947,19,Initiation,B800,Konara,32.5,16.5,829.5768101,1.26,0.26,0.624,0.745924139,0.586475395
1947,19,Initiation,B801,Akashide,1.1,2.04,0.950331778,1.4,0.26,0.624,0.000240565,0.000210158
1947,19,Initiation,B802,Akashide,4.3,3.4,14.52201204,1.26,0.26,0.624,0.004984869,0.003919304
1947,19,Initiation,B803,Mizunara,16.5,12,213.82465,1.26,0.26,0.624,0.144734449,0.113796013
1947,19,Transport,B804,Mizunara,21.8,15.3,373.2526232,1.26,0.26,0.624,0.283917664,0.223227424
1947,19,Transport,B805,Mizunara,22.4,11.1,394.0813825,1.26,0.26,0.624,0.303190041,0.238380138
1947,19,Transport,B806,Mizunara,20,8.3,314.1592654,1.26,0.26,0.624,0.230494972,0.181224367
1947,19,Transport,B807,Mizunara,34.3,12.3,924.0130853,1.26,0.26,0.624,0.849812171,0.668156322
1947,19,Transport,B808,Akashide,11.5,10.4,103.8689071,1.26,0.26,0.624,0.04441765,0.034922933
1947,19,Transport,B809,Mizunara,35.1,22.2,967.6183913,1.26,0.26,0.624,0.898552349,0.706477799
1947,19,Transport,B810,Ezoitaya,15.5,12.4,188.6919088,1.18,0.26,0.519,0.124420902,0.076197849
1947,19,Transport,B811,Shinanoki,26,18.9,530.9291585,1.18,0.26,0.369,0.434789484,0.189316037
1947,19,Transport,B812,Sawashiba,3.8,4.76,11.34114948,1.26,0.26,0.624,0.003786961,0.00297746
1947,19,Transport,B813,Mizunara,20,13.8,314.1592654,1.26,0.26,0.624,0.230494972,0.181224367
1947,19,Transport,B814,Mizunara,24.5,14.7,471.4352476,1.26,0.26,0.624,0.376577043,0.296079935
